State,Title,Description,Type
TX,Electric Vehicle Supply Equipment (EVSE) Incentive - Austin Energy,"Plug-in electric vehicle owners in the Austin Energy service area may be eligible for a rebate of 50% of the cost to purchase and install a qualified Level 2 EVSE, up to $1,200. For additional information, see the Austin Energy <a href=""https://austinenergy.com/ae/green-power/plug-in-austin/home-charging/home-charging"">Home Charging</a> website.",Utility/Private Incentives
NC,High Occupancy Vehicle (HOV) Lane Exemption,"Qualified plug-in electric vehicles, dedicated natural gas vehicles, and fuel cell electric vehicles may use North Carolina HOV lanes, regardless of the number of occupants. This exemption expires September 30, 2025. (Reference <a href=""http://www.ncleg.net/gascripts/Statutes/Statutes.asp"">North Carolina General Statutes</a> 20-4.01 and 20-146.2)",State Incentives
NC,Plug-In Electric Vehicle (PEV) and Fuel Cell Electric Vehicle (FCEV) Emissions Inspection Exemption,"Qualified PEVs and FCEVs are exempt from state emissions inspection requirements. Other restrictions may apply. (Reference <a href=""http://www.ncleg.net/gascripts/Statutes/Statutes.asp"">North Carolina General Statutes</a> 20-4.01 and 20-183.2)",State Incentives
NC,Plug-In Electric Vehicle (PEV) Definition,"A PEV is defined as a vehicle that:<ul><li>Draws electricity from a battery with a capacity of at least four kilowatt-hours and is capable of being charged from an external source<li>Has not been modified from the original equipment manufacturer power train specifications<li>Has a gross vehicle weight rating of 8,500 pounds or less<li>Has a maximum speed of at least 65 miles per hour<li>Meets applicable requirements in Title 49 of the <a href=""https://www.govinfo.gov/app/collection/cfr"">U.S. Code of Federal Regulations</a>, section 571.</ul>(Reference <a href=""http://www.ncleg.net/gascripts/Statutes/Statutes.asp"">North Carolina General Statutes</a> 20-4.01)",Laws and Regulations
GA,Plug-In Electric Vehicle Charging Rate Incentive - Georgia Power,"Georgia Power offers a time-of-use electricity rate for residential customers who own a PEV. Eligible customers must own a smart charger capable of separately metering charger usage. For more information, see the Georgia Power <a href=""https://www.georgiapower.com/residential/billing-and-rate-plans/pricing-and-rate-plans/plug-in-ev.html"">Electric Vehicles</a> website.",Utility/Private Incentives
NV,Plug-In Electric Vehicle (PEV) Charging Rate Incentive - NV Energy,"Nevada Energy (NV Energy) offers discounted electricity rates to residential customers in the northern and southern service territories who charge PEVs during off-peak hours. The discounted rate applies to all electricity use on the premises during off-peak hours. To participate, customers must allow NV Energy access to their electric meters. For more information, see the <a href=""https://www.nvenergy.com/account-services/energy-pricing-plans/electric-vehicle"">NV Energy Electric Vehicles</a> website.",Utility/Private Incentives
NE,Alternative Fuel Vehicle (AFV) Registration,"A fee of $75 is required for the registration of an AFV that operates on electricity, solar power, or any other source of energy not otherwise taxed under the state motor fuel tax laws. Compressed natural gas, liquefied natural gas, and propane are not subject to this requirement. (Reference <a href=""http://nebraskalegislature.gov/laws/browse-statutes.php"">Nebraska Revised Statutes</a> 60-306 and 60-3,191)",Laws and Regulations
MI,Plug-In Electric Vehicle (PEV) Charging Rate Reduction - Consumers Energy,"Consumers Energy offers a special time-of-use rate option for PEV owners. For more information, see the Consumers Energy <a href=""https://www.consumersenergy.com/residential/rates/electric-rates-and-programs/rate-plan-options/electric-vehicle-rate-options"">PEV Rate Options</a> website.",Utility/Private Incentives
UT,Alternative Fuel Vehicle Decal and High Occupancy Vehicle (HOV) Lane Exemption,"Vehicles operating solely on propane, natural gas, or electricity are permitted to use HOV lanes, regardless of the number of passengers. Qualified vehicles must display the special clean fuel decal issued by the Utah Department of Transportation (UDOT); a limited number of decals are available. This exemption expires September 30, 2025. For more information about qualifying vehicles and decal availability, see the <a href=""http://www.udot.utah.gov/main/f?p=100:pg:0:::1:T,V:2280"">Clean Fuel Vehicle Decal and Permit</a> website. (Reference <a href=""http://le.utah.gov/xcode/code.html"">Utah Code</a> 41-1a-416, 41-1a-418, 41-6a-702, 59-13-102, and 72-6-121)",State Incentives
UT,Alternative Fuel Vehicle Inspection and Permit,"The Utah State Tax Commission (Commission) may require vehicles operating on clean fuels to be inspected for safe operation. In addition, clean fuel vehicles that have a gross vehicle weight rating of more than 26,000 pounds or have more than three axels are required to obtain a special fuel user permit from the Commission. Clean fuels are defined as propane, natural gas, electricity, and hydrogen. (Reference <a href=""http://le.utah.gov/xcode/code.html"">Utah Code</a> 59-13-102, 59-13-303, and 59-13-304)",Laws and Regulations
VA,Alternative Fuel and Hybrid Electric Vehicle (HEV) Emissions Testing Exemption,"Vehicles powered exclusively by natural gas, propane, hydrogen, a combination of compressed natural gas and hydrogen, or electricity are exempt from the Virginia emissions inspection program. Qualified HEVs with U.S. Environmental Protection Agency fuel economy ratings of at least 50 miles per gallon (city) are also exempt from the emissions inspection program unless remote sensing devices indicate the HEV may not meet current emissions standards. For more information, including a list of HEVs that qualify, see the Virginia Department of Motor Vehicles <a href=""http://www.dmv.state.va.us/vehicles/#emissions.asp"">Emissions Inspections</a> website. (Reference <a href=""http://lis.virginia.gov/000/src.htm"">Virginia Code</a> 46.2-1177 through 46.2-1178 and 46.2-749.3)",State Incentives
VA,Aftermarket Electric Vehicle (EV) Conversion Regulations,"Any motor vehicle, other than a motorcycle, that has been modified to replace the internal combustion engine with an electric propulsion system must be titled by and registered with the Virginia Department of Motor Vehicles (DMV) as a converted EV. DMV converted EV registration requires certification by a Virginia safety inspector that the conversion to electric propulsion is complete and proof that the vehicle has passed a Virginia safety inspection. The inspector may charge a fee, not to exceed $40, in addition to any fee imposed for Virginia safety inspection. Converted EVs must be equipped with special equipment, including high voltage cables, a temperature monitoring system for traction batteries other than lead acid batteries, and labeling on three sides of the vehicle identifying it as ""Converted Electric."" For more information, see the DMV <a href=""http://www.dmvnow.com/vehicles/#electric.asp""> Titling a Converted EV</a> website. (Reference <a href=""http://lis.virginia.gov/000/src.htm"">Virginia Code</a> 46.2-602.3, 46.2-625, and 46.2-1001.1)",Laws and Regulations
CA,Alternative Fuel and Advanced Vehicle Rebate - San Joaquin Valley,"The San Joaquin Valley Air Pollution Control District (SJVAPCD) administers the Drive Clean! Rebate Program, which provides rebates for the purchase or lease of eligible new vehicles, including qualified natural gas, hydrogen fuel cell, propane, all-electric, plug-in electric vehicles, and zero emission motorcycles. The program offers rebates of up to $3,000, which are available on a first-come, first-served basis for residents and businesses located in the SJVAPCD. For more information, including a list of eligible vehicles and other requirements, see the SJVAPCD <a href=""http://valleyair.org/drivecleaninthesanjoaquin/rebate/"">Drive Clean! Rebate Program</a> website.",State Incentives
WA,Electric Drive Vehicle Fee,"Plug-in electric vehicle (PEV) owners must pay an annual fee of $150 in addition to standard registration fees. Plug-in hybrid electric vehicles with an all-electric range of at least 30 miles are subject to a fee of $75. Beginning October 1, 2019, hybrid electric vehicles are subject to a $75 hybrid vehicle fee. Fees will contribute to the state's Electric Vehicle Infrastructure Bank to deploy charging stations through public-private partnerships. (Reference <a href=""http://leg.wa.gov/"">House Bill</a> 2042, 2019, and <a href=""http://apps.leg.wa.gov/rcw/"">Revised Code of Washington</a> 46.17.323)",Laws and Regulations
WA,Plug-In Electric Vehicle (PEV) Road User Assessment System Pilot,"The Washington Transportation Commission (Commission) studied the feasibility of transitioning from a fuel tax to a road user assessment system in the state. In 2012, the Commission conducted a limited scope pilot project to test the feasibility of this new system as it applies to PEVs. For the results of this evaluation, see the Washington State Department of Transportation <a href=""http://www.wsdot.wa.gov/research/reports/fullreports/807.1.pdf"">report</a>. The Commission began a year-long pilot project in fall 2017. On January 13, 2020, the Commission submitted a <a href=""https://waroadusagecharge.org/final-report/"">report</a> of findings and recommendations to the governor, state legislature, and the U.S. Department of Transportation. The governor and state legislature will decide if a road usage charge will be implemented. For more information, see the Commission <a href=""https://waroadusagecharge.org/"">Road Usage Charge Assessment</a> website. ",Laws and Regulations
PA,Plug-In Electric Vehicle (PEV) Rebate - PECO,"PECO provides rebates of $50 to residential customers who purchase a new, qualified PEV. For more information, see the <a href=""https://secure.peco.com/WaysToSave/ForYourHome/Pages/PECOSmartDriverRebate.aspx"">PECO Driver Rebate</a> website.",Utility/Private Incentives
MI,Plug-In Electric Vehicle (PEV) Charging Rate and Infrastructure Rebate - Indiana Michigan Power,"Indiana Michigan Power offers a special time-of-use rate option to residential customers who own a qualified PEV.<p></p>Indiana Michigan Power also provides rebates of up to $2,500 to residential customers who purchase or lease a new PEV and install a Level 2 EVSE with a separate meter. Customers must also sign up for the Indiana Michigan Power PEV time-of-use rate. The rebate is available to the first 250 qualified customers who submit a completed application.<p></p>For more information, see the Indiana Michigan Power <a href=""https://www.indianamichiganpower.com/info/ElectricCars/MichiganIncentives.aspx"">Rates, Programs & Incentives</a> website.
",Utility/Private Incentives
FL,Electric Vehicle Supply Equipment (EVSE) Rules,"A person may not stop, stand, or park a vehicle that is not capable of using EVSE in a parking space designated for plug-in electric vehicles. To allow for consistency for consumers and the industry, the Florida Department of Agriculture and Consumer Services must adopt additional rules to provide definitions, methods of sale, labeling requirements, and price-posting requirements for EVSE. (Reference <a href=""http://www.flsenate.gov/Laws/"">Florida Statutes</a> 366.94)",Laws and Regulations
CA,Alternative Fuel Vehicle (AFV) Parking Incentive Programs,"The California Department of General Services (DGS) and California Department of Transportation (DOT) must develop and implement AFV parking incentive programs in public parking facilities operated by DGS with 50 or more parking spaces and park-and-ride lots owned and operated by DOT. The incentives must provide meaningful and tangible benefits to drivers, such as preferential spaces, reduced fees, and fueling infrastructure. Fueling infrastructure built at park-and-ride lots is not subject to restricted use by those using bicycles, public transit, or ridesharing. (Reference <a href=""http://www.oal.ca.gov/"">California Public Resources Code</a> 25722.9)",Laws and Regulations
MN,Plug-In Electric Vehicle (PEV) Charging Rate Reduction and EVSE Rebate - Dakota Electric Association,"Dakota Electric members enrolled in the ChargeWise program receive a reduced rate for the electricity used to charge PEVs between specified off-peak hours. Installation of a ChargeWise circuit is required.</p><p>Dakota Electric also offers a rebate of up to $500 for the installation of Level 1 or Level 2 electric vehicle supply equipment (EVSE).</p><p>For more information, visit the Dakota Electric <a href=""https://www.dakotaelectric.com/member-services/programs-rebates/for-your-home/electric-vehicle-charging/"">ChargeWise</a> website.",Utility/Private Incentives
WA,Plug-In Electric Vehicle (PEV) Charging Signage and Parking Regulations,"A PEV charging station must be indicated by vertical signage that properly identifies the station and indicates that it is only for PEV charging. The signage must be consistent with the U.S. Department of Transportation Federal Highway Administration's Manual on Uniform Traffic Control Devices, and the station must be indicated by green pavement markings. A PEV charging station is defined as a public or private parking space that is served by charging equipment with the primary purpose of transferring electric energy to a battery or other energy storage device in a PEV. Any person who parks a vehicle in a PEV charging station parking space and does not connect to the equipment is subject to a fine of $124. (Reference <a href=""http://apps.leg.wa.gov/rcw/default.aspx"">Revised Code of Washington</a> 46.08.185)",Laws and Regulations
KY,Alternative Fuel and Conversion Definitions,"Clean transportation fuels include propane, compressed natural gas (CNG), liquefied natural gas (LNG), electricity, and other transportation fuels determined to be comparable with respect to emissions. Propane is defined as a hydrocarbon mixture produced as a by-product of natural gas processing and petroleum refining and condensed into liquid form for sale or use as a motor fuel. CNG is defined as pipeline-quality natural gas that is compressed and provided for sale or use as a motor vehicle fuel. LNG is defined as pipeline-quality natural gas treated to remove water, hydrogen sulfide, carbon dioxide, and other components that will freeze and condense into liquid form for sale or use as a motor vehicle fuel. </p><p>A bi-fuel system is defined as the power system for motor vehicles powered by gasoline and either CNG or LNG. Bi-fuel systems are considered clean fuel systems. Conversion is defined as repowering a motor vehicle or special mobile equipment by replacing its original gasoline or diesel powered engine with one capable of operating on clean transportation fuel or retrofitting a motor vehicle or special mobile equipment with parts that enable its original gasoline or diesel engine to operate on clean transportation fuel.</p><p>(Reference <a href=""https://legislature.ky.gov/Law/Statutes/Pages/default.aspx"">Kentucky Revised Statutes</a> 186.750)",Laws and Regulations
OR,Planned Community and Condominium Electric Vehicle Supply Equipment (EVSE) Installations,"The owner of a lot in a planned community or unit in a condominium may submit an application to install EVSE for their personal use in a parking space subject to the exclusive use of the owner. The homeowners association must approve a complete application within 60 days. The owner is responsible for all costs associated with the EVSE installation and use, must disclose the existence of the EVSE and related responsibilities to a prospective buyer, and must ensure that the infrastructure meets insurance and safety requirements. EVSE installed under these regulations on or before June 4, 2015, is considered to be the personal property of the lot or unit owner with which the EVSE is associated, unless the owner and homeowners association have negotiated a different outcome. Additional requirements and restrictions apply. (Reference <a href=""https://www.oregonlegislature.gov/"">Oregon Revised Statutes</a> 94.762 and 100.627)",Laws and Regulations
CA,Mandatory Electric Vehicle Supply Equipment (EVSE) Building Standards,"The California Building Standards Commission (Commission) published mandatory building standards for EVSE installation in parking spaces at one- and two-family dwellings with attached private garages, multi-family dwellings, and non-residential developments in the California Green Building Standards Code within the California Building Standards Code. For more information, see the <a href=""http://www.bsc.ca.gov/Codes.aspx"">California Building Codes Standards Commission</a> website. (Reference <a href=""http://www.oal.ca.gov/"">California Health and Safety Code</a> 18941.10)",Laws and Regulations
NC,Electric Vehicle (EV) Annual Fee,"The owner of an EV that is exclusively powered by electricity must pay a fee of $130 in addition to any other required registration fees at the time of initial registration and annual registration renewal. (Reference <a href=""http://www.ncleg.net/gascripts/Statutes/Statutes.asp"">North Carolina General Statutes</a> 20-87)",Laws and Regulations
MA,Plug-In and Zero Emission Vehicle Rebates,"Massachusetts Department of Energy Resources' Massachusetts Offers Rebates for Electric Vehicles (MOR-EV) Program offers residents, nonprofits, and businesses rebates of up to $2,500 toward the purchase or lease of eligible battery electric and fuel cell electric vehicles and up to $1,500 for the purchase or lease of eligible plug-in hybrid electric vehicles. Eligible nonprofit and business fleet vehicles may include rental cars, company cars, and delivery vehicles. Vehicle purchase prices must be below $50,000. Applicants must apply within three months of the vehicle purchase or lease date and must retain ownership of the vehicle for a minimum of 36 months. Only vehicles purchased or leased on or after January 1, 2020 are eligible. For more information, including application and eligibility requirements, visit the <a href=""https://mor-ev.org/"">MOR-EV</a> website.",State Incentives
US,Qualified Two-Wheeled Plug-In Electric Drive Motor Vehicle Tax Credit,"NOTE: This incentive originally expired on December 31, 2017, but was retroactively extended through December 31, 2020, by Public Law 116-94.</p><p>A credit is available for the purchase of a new qualified two-wheeled plug-in electric drive vehicle that draws propulsion using a traction battery that has at least 2.5 kilowatt hours (kWh) of capacity, uses an external source of energy to recharge the battery, has a gross vehicle weight rating of up to 14,000 pounds, is manufactured primarily for use on public roadways, and can drive at least 45 miles per hour. The credit is for 10% of the cost of the qualified vehicle, up to $2,500. For more information about claiming the credit, see the Internal Revenue Service (IRS) <a href=""https://www.irs.gov/Businesses/Plug-In-Electric-Vehicle-Credit-IRC-30-and-IRC-30D"">Plug-In Electric Vehicle Credit</a> website and IRS Form 8936, which is available on the <a href=""http://apps.irs.gov/app/picklist/list/formsPublications.html"">IRS Forms and Publications</a> website. (Reference <a href=""https://www.congress.gov/public-laws/116th-congress"">Public Law</a> 116-94, <a href=""https://www.congress.gov/public-laws/115th-congress"">Public Law</a> 115-123, <a href=""https://www.congress.gov/public-laws/114th-congress"">Public Law</a> 114-113, and 26 <a href=""https://www.govinfo.gov/app/collection/uscode"">U.S. Code</a> 30D)",Incentives
MD,Electric Vehicle Supply Equipment (EVSE) Rebate Program,"The Maryland Energy Administration (MEA) offers a rebate to individuals, businesses, or state or local government entities for the costs of acquiring and installing qualified EVSE. Between July 1, 2017, and June 30, 2020, the rebate may cover 40% of the costs of acquiring and installing qualified EVSE, or up to the following amounts:
<p></p><div align=""center""><table class=""table table-bordered""><tr><th>Qualified Entity</th><th>Amount</th></tr>
<tr><td>Individual</td><td align=""center"">$700</td></tr>
<tr><td>Business or State or Local Government</td><td align=""center"">$4,000</td></tr>
<tr><td>Retail Service Station Dealer</td><td align=""center"">$5,000</td></tr></table></div></p><p>

Applicants must demonstrate compliance with state, local, and/or federal law that applies to the installation or operation of qualified EVSE. Other requirements may apply. Total funding for each fiscal year will not exceed $1,200,000. Rebates will be awarded on a first-come, first-served basis. For more information, see MEA's <a href=""http://energy.maryland.gov/transportation/Pages/incentives_evserebate.aspx"">EVSE Rebate Program</a> page.<p></p>(Reference <a href=""http://mgaleg.maryland.gov/webmga/frm1st.aspx?tab=home"">Maryland Statutes</a>, Business Regulation Code 10-101, and State Government Code 9-2009)",State Incentives
IA,Alternative Fuel Tax,"Alternative fuels used as vehicle fuel are taxed as follows:<ul><li>Compressed natural gas is subject to the state fuel excise tax of $0.31 per gasoline gallon equivalent, measured at 5.66 pounds (lbs.) or 126.67 cubic feet at a base temperature of 60 degrees Fahrenheit and a pressure of 14.73 lbs. per square inch;<li>Liquefied natural gas is subject to the excise tax of $0.325 per diesel gallon equivalent (DGE), measured at 6.06 lbs.;<li>Propane is subject to the excise tax of $0.30 per gallon;<li>E85 is subject to the excise tax of $0.290 per gallon;<li>Hydrogen is subject to the excise tax of $0.65 per DGE, measured at 2.49 lbs.; and<li>Electricity is subject to the excise tax of $0.026 per kilowatt-hour of fuel delivered or placed into a battery or other energy storage device of an electric motor vehicle at any location in Iowa other than a residence.</ul> (Reference <a href=""https://www.legis.iowa.gov/index.aspx"">Iowa Code</a> 452A.2 and 452A.86)",Laws and Regulations
CO,Plug-In Electric Vehicle (PEV) Fee,"PEV owners must pay an annual fee of $50, in addition to other registration fees, for a PEV decal. Fees contribute to the Highway Users Tax Fund and the Electric Vehicle Grant Fund, which provides grants for EVSE. (Reference <a href=""http://www.lexisnexis.com/hottopics/Colorado/"">Colorado Revised Statutes</a> 42-3-304)",Laws and Regulations
RI,Electric Drive Vehicle License Plates,"The Rhode Island Division of Motor Vehicles may issue special vehicle license plates to owners of electric drive vehicles, including those powered in whole or in part by a storage battery. Eligible vehicles include hybrid electric, plug-in hybrid electric, and all-electric vehicles registered as electric drive vehicles in the state. (Reference <a href=""http://webserver.rilin.state.ri.us/Statutes/"">Rhode Island General Laws</a> 31-3-101)",Laws and Regulations
DC,Alternative Fuel Vehicle (AFV) Conversion and Infrastructure Tax Credit,"Businesses and individuals are eligible for an income tax credit of 50% of the equipment and labor costs for the conversion of qualified AFVs, up to $19,000 per vehicle. A tax credit is also available for 50% of the equipment and labor costs for the purchase and installation of alternative fuel infrastructure on qualified AFV fueling property. The maximum credit is $1,000 per residential electric vehicle charging station, and $10,000 per publicly accessible AFV fueling station. Qualified alternative fuels include, ethanol blends of at least 85%, natural gas, propane, biodiesel, electricity, and hydrogen. This incentive expires December 31, 2026. For more information, see the <a href=""https://otr.cfo.dc.gov/publication/alternative-fuel-vehicle-infrastructure-and-conversion-credits-faqs"">Office of Tax and Revenue</a> website. (Reference <a href=""https://code.dccouncil.us/dc/council/code/"">District of Columbia Code</a> 47-1806.12 through 47-1806.13, 47-1807.10 through 47-1807.11, and 47-1808.10 through 47-1808.11)",State Incentives
MN,Plug-In Electric Vehicle (PEV) Charging Rate Incentive - Connexus Energy,"Connexus Energy offers reduced electric rates to residential customers in their service territory who charge PEVs. To participate, customers may contact their own electrician or Connexus Energy's electrician to install the metering equipment.  The meter must be permitted and inspected. For more information, see the Conexus Energy <a href=""https://www.connexusenergy.com/save-money-and-energy/programs-rebates/electric-vehicles"">Electric Vehicle</a> page.",Utility/Private Incentives
CA,Establishment of a Zero Emission Medium- and Heavy-Duty Vehicle Program,"The California Clean Truck, Bus, and Off-Road Vehicle and Equipment Technology Program (Program) will provide funding for development, demonstration, pre-commercial pilot, and early commercial implementation projects for zero and near-zero emission trucks, buses, and off-road vehicles and equipment. Eligible projects include, but are not limited to, the following:<ul><li>Technology development, demonstration, pre-commercial pilots, and early commercial implementation projects for zero and near-zero emission truck technology;<li>Zero and near-zero emission bus technology development, demonstration, pre-commercial pilots, and early commercial deployments, including pilots of multiple vehicles at one site or region;<li>Purchase incentives for commercially available zero and near-zero emission truck, bus, and off-road vehicle and equipment technologies and fueling infrastructure; and<li>Projects that support greater commercial motor vehicle and equipment freight efficiency and greenhouse gas emissions reductions, including autonomous vehicles, grid integration technology, and charge management solutions.</ul>Remanufactured and retrofitted vehicles meeting warranty and emissions requirements may also qualify for funding. The Program is expected to provide $12 million to $20 million in funding annually through December 31, 2020. At least 20% of allocated funds must go towards early commercial deployment of eligible vehicles and equipment. The California Air Resources Board and the State Energy Resources Conservation and Development Commission will develop and administer the Program.<p></p>(Reference <a href=""http://leginfo.legislature.ca.gov/faces/home.xhtml"">Assembly Bill</a> 2145, 2018, and <a href=""http://www.oal.ca.gov/"">California Health and Safety Code</a> 39719.2) ",Laws and Regulations
PA,Low-Speed Vehicle Definition,"A low-speed vehicle is defined as a four-wheeled electric vehicle that has a maximum speed greater than 20 miles per hour (mph) but not more than 25 mph. All vehicles must comply with the safety standards established in Title 49 of the <a href=""https://www.govinfo.gov/app/collection/cfr"">U.S. Code of Federal Regulations</a>, section 571.500. Drivers must maintain a defined level of insurance coverage for all registered vehicles. (Reference Title 75 <a href=""http://government.westlaw.com/linkedslice/default.asp?SP=pac-1000"">Pennsylvania Statutes</a> Part I, Chapter 1, Section 102 and Part II, Chapter 17, Subchapter H, Section 1788)",Laws and Regulations
FL,Plug-in Electric Vehicle (PEV) Rebate - JEA,"Jacksonville Electric Authority (JEA) offers rebates for the purchase or lease of new PEVs. PEVs with a battery less than 15 kilowatt-hours (kWh) in capacity receive $500, and PEVs with larger battery capacity are eligible for $1,000. A copy of a valid Florida vehicle registration, proof of sale, and a recent JEA Electric bill are required. For more information, see JEA's <a href=""https://www.jea.com/Ways_to_Save/Go_Green/Plug-in_Electric_Vehicles/Electric_Vehicle_Incentives//"">Electric Vehicle Incentives</a> page.
",Utility/Private Incentives
CA,Plug-In Electric Vehicle (PEV) Charging Electricity Exemption,"Electricity used to charge PEVs at a state-owned parking facility is exempt from California law prohibiting gifting public money or items of value. (Reference <a href=""http://www.oal.ca.gov/"">California Government Code</a> 14678)",Laws and Regulations
CA,Residential Electric Vehicle Supply Equipment (EVSE) Financing Program ,"Property Assessed Clean Energy (PACE) Loss Reserve Program financing allows property owners to borrow funds to pay for energy improvements, including purchasing and installing EVSE. The borrower repays the financing over a defined period of time through a special assessment on the property. Local governments in California are authorized to establish PACE programs. Property owners must agree to a contractual assessment on the property tax bill, have a clean property title, and be current on property taxes and mortgages. Financing limits are 15% of the first $700,000 of the property value and 10% of the remaining property value. For more information, see the California Alternative Energy and Advanced Transportation Financing Authority <a href=""https://www.treasurer.ca.gov/caeatfa/pace/index.asp"">PACE Loss Reserve Program</a> website. (Reference <a href=""http://www.oal.ca.gov/"">California Public Resources Code</a> 26004-26082)",State Incentives
CT,Reduced Registration Fee for Electric Vehicles (EVs),"EVs are eligible for a reduced biennial vehicle registration fee of $38. For more information, refer to the Connecticut Department of Motor Vehicles <a href=""http://www.ct.gov/dmv/cwp/view.asp?a=802&q=244546"">Vehicle Registration Fees</a> website. (Reference <a href=""http://www.cga.ct.gov/"">Connecticut General Statutes</a> 14-49(f))",State Incentives
MA,Plug-In Electric Vehicle (PEV) and Electric Vehicle Supply Equipment (EVSE) Grants for Public Fleets,"The Massachusetts Electric Vehicle Incentive Program (MassEVIP) provides grants for the purchase or lease of qualified PEVs, zero emission motorcycles, and Level 2 EVSE. Eligible applicants include local governments, public universities and colleges, and state agencies. Vehicle incentives are available in the following amounts:</p><p><center><table class=""table table-bordered""><tr><th>Vehicle Type</th><th>Incentive for Purchase</th><th>Incentive for Lease</th></tr><tr><td>PEV</td><td>Up to $7,500</td><td>Up to $5,000</td></tr><tr><td>Plug-in hybrid electric vehicle (PHEV)</td><td>Up to $5,000</td><td>Up to $3,000</td></tr><tr><td>Zero emission motorcycle</td><td>Up to $750</td><td>Up to $750</td></tr></table></center></p><p>Applicants may receive funding for a maximum of 25 vehicles, including PEVs, PHEVs, and zero emission motorcycles.</p><p>Funding of up to $7,500 per address is also available for Level 2 EVSE associated with the purchase or lease of at least two PEVs. Incentive amounts vary depending on the number of PEVs acquired. For more information, including funding availability, application, and eligibility requirements, visit the <a href=""https://www.mass.gov/how-to/apply-for-massevip-fleets-incentives"">MassEVIP Fleet Incentives</a> website.",State Incentives
NY,Clean Truck Port Requirements,"Port drayage trucks must meet or exceed Model Year 2007 engine federal emissions standards to access the Port Authority of New York & New Jersey (PANYNJ) marine terminals. Drayage trucks operating on liquefied or compressed natural gas, electricity, or hybrid electric technology are exempt from these requirements. For purposes of this rule, drayage trucks are defined as on-road vehicles with a gross vehicle weight rating of 33,001 pounds or greater and intended to load, unload, or transport cargo from PANYNJ terminals. Additional rules apply. For more information, see the <a href=""http://www.panynj.gov/about/port-initiatives.html"">PANYNJ</a> website.",Laws and Regulations
NJ,Clean Truck Port Requirements,"Only trucks equipped with engines that meet or exceed Model Year (MY) 2007 engine federal emissions standards are allowed to access the Port Authority of New York & New Jersey (PANYNJ) marine terminals. Drayage trucks operating on natural gas, electricity, or hybrid electric technology are exempt from these requirements. For the purpose of this rule, drayage trucks are defined as on-road vehicles with a gross vehicle weight rating of 33,001 pounds or greater and intended to load, unload, or transport cargo from PANYNJ terminals. Additional rules apply. For more information, see <a href=""http://www.panynj.gov/about/port-initiatives.html"">PANYNJ</a> website.",Laws and Regulations
MI,Plug-In Electric Vehicle (PEV) Charging Rate and Infrastructure Rebate - Lansing BWL,"The Lansing Board of Water & Light (BWL) offers a pilot PEV time-of-use charging rate to single- or multi-family dwellings of four units or less with separately metered Level 2 electric vehicle supply equipment (EVSE). Additional terms and conditions apply.<p></p>BWL also offers a reimbursement of up to $1,000 for the purchase and installation of EVSE for customers that have enrolled in the PEV charging rate. The program is limited to the first 10 qualified residential customers.<p></p>For more information, see the BWL <a href=""https://www.lbwl.com/customers/save-money-energy/plug-electric-vehicles-pev/"">PEVs</a> website.



",Utility/Private Incentives
RI,Electric Vehicle Emissions Inspection Exemption,"Vehicles powered exclusively by electricity are exempt from state emissions control inspections. For more information, see the <a href=""https://www.riinspection.org/"">Rhode Island Emissions and Safety Testing Program</a> website. (Reference <a href=""http://webserver.rilin.state.ri.us/Statutes/"" target=""_blank"">Rhode Island General Laws</a> 31-47.1-5) ",State Incentives
OH,Alternative Fuel Vehicle (AFV) Emissions Inspection Exemption,"Vehicles powered exclusively by electricity, propane, or natural gas are exempt from state motor vehicle emissions inspections after receiving a one-time verification inspection. For more information, see the Ohio Environmental Protection Agency's <a href=""http://www.ohioecheck.info/"">E-Check</a> website. (Reference <a href=""http://codes.ohio.gov/"" target=""_blank"">Ohio Administrative Code</a> 3745.26)",State Incentives
CO,Electric Vehicle Emissions Inspection Exemption,"Vehicles powered exclusively by electricity are exempt from state motor vehicle emissions inspections. For more information, see the <a href=""http://aircarecolorado.com/"">Air Care Colorado</a> website. (Reference 1 <a href=""http://www.sos.state.co.us/CCR/Welcome.do"">Code of Colorado Regulations</a> 204-11 Rule 2)
",State Incentives
CT,Electric Vehicle Emissions Inspection Exemption,"Vehicles powered exclusively by electricity are exempt from state motor vehicle emissions inspections. For more information, see the <a href=""http://ctemissions.com/"">Connecticut Emissions Program</a> website. (Reference <a href=""http://www.cga.ct.gov/"">Connecticut General Statutes</a> 14-164c)
",State Incentives
IL,All-Electric Vehicle (EV) Emissions Inspection Exemption,"EVs are exempt from state motor vehicle emissions inspections. For more information, see the Illinois Environmental Protection Agency's <a href=""https://illinoisairteam.net/"">Vehicle Emissions Testing Program</a> website. (Reference 625 <a href=""http://www.ilga.gov/legislation/ilcs/ilcs.asp"">Illinois Compiled Statutes</a> 5/13C)",State Incentives
MA,Electric Vehicle Emissions Inspection Exemption,"Vehicles powered exclusively by electricity are exempt from state motor vehicle emissions inspections. For more information, see the <a href=""https://www.mavehiclecheck.com/"">Massachusetts Vehicle Check</a> website. (Reference <a href=""http://www.mass.gov/eea/agencies/massdep/air/regulations/"">Massachusetts Department of Environmental Protection Regulations and Standards</a> 310 CMR 60.02)",State Incentives
